"","city","lat","lon","distance"
"1","Aalborg  Denmark",57.0488195,9.921747,1242.26411153063
"2","Aarhus  Denmark",56.162939,10.203921,1151.86184060814
"3","Aberdeen  United Kingdom",57.149717,-2.094278,1800.67646690801
"4","Abu Dhabi  United Arab Emirates",24.2991738,54.6972774,4045.21408191179
"5","Adana  Turkey",36.9914194,35.3308285,1757.10939829679
"6","Agadir  Morocco",30.4277547,-9.5981072,3103.76245681578
"7","Ahmedabad India VA India",23.0215963,72.5713954,5422.11029912662
"8","Ai Udeid  Katar",25.11792,51.316563,3752.35805364198
"9","Akita Japan RJ Japan",39.7200079,140.1025642,8722.13347267405
"10","Aktyubinsk  Kazahstan",50.2839339,57.166978,2769.61223578297
"11","Alderney Blaye  United Kingdom",49.7220807,-2.2012994,1597.36395770886
"12","Alesund  Norway",62.4722284,6.149482,1863.96220802448
"13","Alexandropolis  Greece",40.8457193,25.873962,903.436764249721
"14","Al-Fujairah  United Arab Emirates",25.5911171,56.2594033,4046.34260454395
"15","Alghero  Italy",40.5579517,8.3192949,1161.25508227815
"16","Alicante Spain LE Spain",38.3459963,-0.4906855,1894.41512217351
"17","Almaty  Kazahstan",43.2220146,76.8512485,4435.66617589833
"18","Almeria Spain LE Spain",36.834047,-2.4637136,2135.5801140809
"19","Amman  Jordan",31.9453666,35.9283716,2227.40021662872
"20","Amsterdam  The Netherlands",52.3702157,4.8951679,1165.17656663892
"21","Ancona  Italy",43.6158299,13.518915,616.900799899222
"22","Ankara  Turkey",39.9333635,32.8597419,1374.87450602368
"23","Annecy - Meythet  France",45.8615248,6.1673232,1015.45741109016
"24","Antalya  Turkey",36.8968908,30.7133233,1502.72520655759
"25","Aomori Japan RJ Japan",40.822072,140.7473647,8655.92722065834
"26","Aqaba  Jordan",29.5320522,35.0063209,2406.56274531822
"27","Arad  Romania",46.1865606,21.3122677,210.079355225703
"28","Arhangelszk Russia UL Russia",64.5098109,40.6795604,2299.49025167471
"29","Ashgabat  Turkmenistan",37.9600766,58.3260629,3330.2913619699
"30","Asturias Spain LE Spain",43.3613953,-5.8593267,2008.02655011829
"31","Aswan  Egypt",24.088938,32.8998293,2859.93345654981
"32","Athén  Greece",37.9838096,23.7275388,1111.99547813234
"33","Atlanta USA KA USA",37.6505122,-97.3748104,8681.97665678555
"34","Atyrau  Kazahstan",47.0944959,51.9238373,2454.62271739328
"35","Bagdad  Iraq",33.3128057,44.3614875,2627.5415491188
"36","Bagram Air Base  Afghanistan",34.9444758,69.273567,4336.40414336435
"37","Bahrein  Bahrein",26.0667,50.5577,3622.94935016643
"38","Baku  Azerbaijan",40.4092617,49.8670924,2560.68197704632
"39","Baltimore USA KB USA",33.4214238,-111.6077399,9798.33722807094
"40","Bamako  Mali",12.6392316,-8.0028892,4618.06265544108
"41","Bangkok  Thailand",13.7563309,100.5017651,8240.09177927414
"42","Bangor USA KB USA",44.8011821,-68.7778138,6425.29487101408
"43","Banja Luka  Bosnia-Herczegovina",44.7721811,17.191,336.388442012841
"44","Barcelona Spain LE Spain",41.3850639,2.1734035,1512.96289234769
"45","Bari  Italy",41.1171432,16.8718715,727.517593757604
"46","Bastia  France",42.697283,9.450881,933.322086232127
"47","Batumi  Georgia",41.6167547,41.6367455,1885.41192277769
"48","Basel  Switzerland",47.5595986,7.5885761,877.914435466611
"49","Beauvais  France",49.4295387,2.0807123,1286.7023248909
"50","Bechar  Algeria",31.6182492,-2.2143231,2531.49815101393
"51","Wien  Austria",48.2081743,16.3738189,231.737998378676
"52","Beyrut  Libanon",33.8937913,35.5017767,2029.04239843134
"53","Belfast  United Kingdom",54.597285,-5.93012,1924.35555957392
"54","Belgrade  Serbia",44.786568,20.4489216,308.98166694996
"55","Benghazi  Lybia",32.0947711,20.1879106,1705.49027021184
"56","Bergen  Norway",60.3912628,5.3220544,1699.86063773203
"57","Bergerac  France",44.853806,0.483392,1474.25462359989
"58","Berlin Germany ED Germany",52.5200066,13.404954,703.2375427311
"59","Bern  Switzerland",46.9479739,7.4474468,895.219260640966
"60","Bilbao Spain LE Spain",43.2630126,-2.9349852,1792.52236867403
"61","Billund  Denmark",55.728449,9.112366,1157.01959670839
"62","Birmingham  United Kingdom",52.486243,-1.890401,1610.26886419043
"63","Bishkek  Kazahstan",42.8746212,74.5697617,4286.84472920229
"64","Blackpool  United Kingdom",53.8175053,-3.0356748,1719.68794890995
"65","Bodo  Norway",67.2803556,14.404916,2227.17686399664
"66","Bodrum  Turkey",37.034407,27.43054,1336.70881263473
"67","Bologna  Italy",44.494887,11.3426163,694.295426925901
"68","Bolzano  Italy",46.4982953,11.3547582,609.585704373273
"69","Bordeaux  France",44.837789,-0.57918,1554.76955458367
"70","  United Kingdom",55.378051,-3.435973,1797.00010361567
"71","Braunschweig Germany ED Germany",52.2688736,10.5267696,824.941420963531
"72","Bremen Germany ED Germany",53.0792962,8.8016937,972.382109426557
"73","Brescia  Italy",45.5415526,10.2118019,724.766440627633
"74","Brest  France",48.390394,-4.486076,1770.28572183882
"75","Brest  Belorussia",52.0976214,23.7340503,610.376058707536
"76","Briansk Russia UU Russia",53.2635306,34.41611,1255.19795913835
"77","Bristol  United Kingdom",51.454513,-2.58791,1638.43297717564
"78","Brno  Czech Republic",49.1950602,16.6068371,276.709542104954
"79","Brussels  Belgium",50.8503396,4.3517103,1148.89250088026
"80","Bucharest  Romania",44.4267674,26.1025384,627.738021526778
"81","Burgas  Bulgaria",42.5047926,27.4626361,847.897518546518
